id;cadastrado_em;modificado_em;excluido;codigo_host;data_nomeacao;data_termino;hist_distrito_id;hist_geral_id;hist_igreja_id;hist_orgao_id;hist_regiao_id;hist_secretaria_id;instituicao_id;pessoa_id;funcao_ministerial_id
5480;2021-05-27 14:41:23.759151+00;2021-05-27 14:41:23.759227+00;false;\0;08/12/2013;14/12/2014;1798;\0;2136;\0;18;\0;2136;1556;13
5482;2021-05-27 14:53:54.089174+00;2021-05-27 14:53:54.089242+00;false;\0;28/11/2020;\0;1795;\0;2127;\0;18;\0;2127;2192;27
5483;2021-05-27 15:01:41.893363+00;2021-05-27 15:01:41.893406+00;false;\0;01/12/2018;28/11/2020;1794;\0;2148;\0;18;\0;2148;1621;12
3214;2017-01-11 17:09:14.083862+00;2021-05-27 15:06:27.173764+00;false;\0;10/12/2016;28/11/2020;1794;\0;2158;\0;18;\0;2158;1532;12
5486;2021-05-27 15:06:59.2866+00;2021-05-27 15:06:59.286645+00;false;\0;28/11/2020;27/05/2021;1794;\0;2158;\0;18;\0;2158;1532;24
5487;2021-05-27 15:17:51.205078+00;2021-05-27 15:17:51.205155+00;false;\0;05/12/2010;14/12/2014;\0;\0;\0;2753;\0;\0;2753;1239;12
5470;2021-05-26 17:18:24.570959+00;2021-06-01 12:46:03.905492+00;false;\0;07/12/2008;09/12/2012;1800;\0;2163;\0;18;\0;2163;1245;13
5452;2021-04-20 14:31:49.379136+00;2021-06-21 19:26:17.605465+00;false;\0;28/11/2020;\0;1801;\0;2817;\0;18;\0;2817;1541;13
5488;2021-05-27 15:18:50.673232+00;2021-05-27 15:18:50.673307+00;false;\0;14/12/2014;\0;\0;\0;\0;2753;\0;\0;2753;1239;11
5492;2021-05-27 17:05:56.447238+00;2021-05-27 17:15:25.030648+00;false;\0;08/12/2002;06/01/2007;1823;\0;2146;\0;18;\0;2146;133;9
