id;cadastrado_em;modificado_em;excluido;data_hora;total_entradas;total_saidas;saldo_anterior;saldo_final;estorno;auditado;caixa_id;instituicao_id;ano;mes;total_transf_entradas;total_transf_saidas;aux_data_hora;aux_saldo_anterior;aux_saldo_final;aux_total_entradas;aux_total_saidas;aux_total_transf_entradas;aux_total_transf_saidas
213399;2024-01-15 23:39:07.315053+00;2024-01-15 23:39:07.31508+00;false;2023-12-01 03:00:00+00;1502,5;1022,09;170,27;429,68;false;false;5948;2342;2023;12;0;221;\0;0;0;0;0;0;0
213400;2024-01-15 23:39:07.321284+00;2024-01-15 23:39:07.321313+00;false;2023-12-01 03:00:00+00;1032,5;490;193,59;611,09;false;false;5979;2342;2023;12;0;125;\0;0;0;0;0;0;0
213401;2024-01-15 23:39:07.327654+00;2024-01-15 23:39:07.32768+00;false;2023-12-01 03:00:00+00;0;0;0;0;false;false;3679;2342;2023;12;0;0;\0;0;0;0;0;0;0
213402;2024-01-16 00:06:37.409685+00;2024-01-16 00:06:37.409718+00;false;2023-12-01 03:00:00+00;10467,5;8087,99;3354,39;5733,9;false;false;2223;2184;2023;12;0;0;\0;0;0;0;0;0;0
213403;2024-01-16 00:06:37.422175+00;2024-01-16 00:06:37.422224+00;false;2023-12-01 03:00:00+00;0;0;0;0;false;false;3275;2184;2023;12;0;0;\0;0;0;0;0;0;0
213404;2024-01-16 00:06:37.431519+00;2024-01-16 00:06:37.431563+00;false;2023-12-01 03:00:00+00;0;0;0;0;false;false;3607;2184;2023;12;0;0;\0;0;0;0;0;0;0
213405;2024-01-16 00:06:37.439554+00;2024-01-16 00:06:37.439584+00;false;2023-12-01 03:00:00+00;0;0;0;0;false;false;3608;2184;2023;12;0;0;\0;0;0;0;0;0;0
213406;2024-01-16 00:06:37.446896+00;2024-01-16 00:06:37.446939+00;false;2023-12-01 03:00:00+00;0;0;56,44;56,44;false;false;3609;2184;2023;12;0;0;\0;0;0;0;0;0;0
213407;2024-01-16 00:06:37.455568+00;2024-01-16 00:06:37.455602+00;false;2023-12-01 03:00:00+00;0;0;0;0;false;false;3828;2184;2023;12;0;0;\0;0;0;0;0;0;0
213408;2024-01-16 00:10:36.215613+00;2024-01-16 00:10:36.21566+00;false;2023-12-01 03:00:00+00;5816,58;14273,58;13011,69;4554,69;false;false;2624;2585;2023;12;0;0;\0;0;0;0;0;0;0
